"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
1.338,0.2347271116588426,-0.3246784062038668,-0.3246784062038668,-9.81,2.170428989938069,2,1,0
1.344,0.2326024612215986,-0.3835384062038675,-0.3835384062038675,-9.81,2.170428989938069,2,1,0
1.35,0.2301246507843498,-0.4423984062038676,-0.4423984062038676,-9.81,2.170428989938069,2,1,0
1.356,0.2272936803471045,-0.5012584062038676,-0.5012584062038676,-9.81,2.170428989938069,2,1,0
1.362,0.2241095499098625,-0.5601184062038677,-0.5601184062038677,-9.81,2.170428989938069,2,1,0
1.368,0.2205722594726238,-0.6189784062038677,-0.6189784062038677,-9.81,2.170428989938069,2,1,0
1.374,0.2166818090353886,-0.6778384062038678,-0.6778384062038678,-9.81,2.170428989938069,2,1,0
1.38,0.2124381985981567,-0.7366984062038656,-0.7366984062038656,-9.81,2.170428989938069,2,1,0
1.386,0.2078414281609198,-0.7955584062038668,-0.7955584062038668,-9.81,2.170428989938069,2,1,0
1.392,0.2028914977236831,-0.8544184062038668,-0.8544184062038668,-9.81,2.170428989938069,2,1,0
1.398,0.1975884072864473,-0.9132784062038668,-0.9132784062038668,-9.81,2.170428989938069,2,1,0
1.404,0.1919321568492123,-0.9721384062038668,-0.9721384062038668,-9.81,2.170428989938069,2,1,0
1.41,0.1859227464119782,-1.030998406203867,-1.030998406203867,-9.81,2.170428989938069,2,1,0
1.416,0.179560175974745,-1.089858406203867,-1.089858406203867,-9.81,2.170428989938069,2,1,0
1.422,0.1728444455375125,-1.148718406203867,-1.148718406203867,-9.81,2.170428989938069,2,1,0
1.428,0.165775555100281,-1.207578406203867,-1.207578406203867,-9.81,2.170428989938069,2,1,0
1.434,0.1583535046630503,-1.266438406203867,-1.266438406203867,-9.81,2.170428989938069,2,1,0
1.44,0.1505782942258204,-1.325298406203867,-1.325298406203867,-9.81,2.170428989938069,2,1,0
1.446,0.1424499237885914,-1.384158406203867,-1.384158406203867,-9.81,2.170428989938069,2,1,0
1.452,0.1339683933513633,-1.443018406203867,-1.443018406203867,-9.81,2.170428989938069,2,1,0
1.458,0.1251337029141347,-1.501878406203867,-1.501878406203867,-9.81,2.170428989938069,2,1,0
1.464,0.1159458524769038,-1.560738406203868,-1.560738406203868,-9.81,2.170428989938069,2,1,0
1.47,0.1064048420396732,-1.619598406203868,-1.619598406203868,-9.81,2.170428989938069,2,1,0
1.476,0.09651067160244284,-1.678458406203868,-1.678458406203868,-9.81,2.170428989938069,2,1,0
1.482,0.08626334116521267,-1.737318406203868,-1.737318406203868,-9.81,2.170428989938069,2,1,0
1.488,0.07566285072798275,-1.796178406203868,-1.796178406203868,-9.81,2.170428989938069,2,1,0
